# closure triangle index, closure phase (degree)
# This is the full non-redundant set of closure phases from
# https://iopscience.iop.org/article/10.1088/0004-637X/695/2/1183/pdf
0, 8.784850388753625
1, 4.555252984558564
2, 3.5850950557050325
3, 7.802270019560204
4, 13.86408662020127
5, 13.560563616353008
6, 3.606629499998455
7, -11.797719594735653
8, -9.123968675166807
9, 23.7898341121507
10, 32.29196965479932
10.999999999999996, 29.732646908588514
12, 25.172847829484965
12.999999999999996, 3.3683700462117017
14, 20.403040297114245
14.999999999999996, 26.438635952104477
16, 30.621036747120602
17, 17.826490781226155
18, 12.351728088786722
19, 18.18230563132891
19.999999999999993, 22.539676796682215
21, 12.409743427954503
22, 2.4275912119298795
23, -3.6061374815502987
24, 1.260493187828338
25, -4.263561506309372
26, 2.8353129404502724
27, 8.070940714634851
28, -4.363284557285233
28.999999999999993, -0.33306566134005067
30, 27.492947068804472
31, 29.34477305310665
32, 28.21091217451566
32.99999999999999, 30.006670254725204
34, 4.711394038545315
35, 14.97188101304937
36, 17.615396708161043
36.99999999999999, 23.38839610510974
38, 18.81365301435048
39, 5.1336574511004756
40, 7.996803295288693
40.99999999999999, 10.786074812957906
42, 9.482519677661358
43, -4.857843832526115
44, -9.792404583957364
44.99999999999999, 4.567022286251124
45.99999999999999, -5.110084442492884
47, 11.444014171792709
48, 17.68736127918161
49, -1.760185488280797
50, -17.91210646293193
51, -17.49637972972873
52, -11.881452286479686
53, -21.00750366273475
54, -25.960646180042488
55, -24.49533390603996
55.999999999999986, -19.900813528206655
57, -23.66018765231871
58, -5.7027002989463895
59, -9.561614451491849
60, 0.05295945459904772
60.999999999999986, -1.7468003501360343
62, 8.08904834900514
63, 8.774041217240338
63.999999999999986, -7.804038933735704
65, -6.146579976650159
66, -5.904135273914896
67, -4.461913290910282
68, -6.622166119501237
68.99999999999999, -13.134626315044741
70, 2.392800348336195
71, -7.425394959134032
71.99999999999999, 11.09960677879733
73, 16.26545953002948
74, -8.738894883143004
75, -15.605350984703037
76, -1.0951886923426883
76.99999999999999, -6.716526490687713
78, 8.693017272252781
79, 17.35423484732774
80, 3.319315546945198
81, 2.685798798583612
81.99999999999999, 3.0978062379461804
